Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
490,12/7/2017 19:30,29.252,0,,,,
491,12/7/2017 19:40,29.252,0,,,,
492,12/7/2017 19:50,29.152,0,,,,
493,12/7/2017 20:00,29.152,0,,,,
494,12/7/2017 20:10,29.152,0,,,,
495,12/7/2017 20:20,29.152,0,,,,
496,12/7/2017 20:30,29.152,0,,,,
497,12/7/2017 20:40,29.152,0,,,,
498,12/7/2017 20:50,29.152,0,,,,
499,12/7/2017 21:00,29.152,0,,,,
500,12/7/2017 21:10,29.152,0,,,,
501,12/7/2017 21:20,29.152,0,,,,
502,12/7/2017 21:30,29.152,0,,,,
503,12/7/2017 21:40,29.152,0,,,,
504,12/7/2017 21:50,29.152,0,,,,
505,12/7/2017 22:00,29.152,0,,,,
506,12/7/2017 22:10,29.152,0,,,,
507,12/7/2017 22:20,29.152,0,,,,
508,12/7/2017 22:30,29.152,0,,,,
509,12/7/2017 22:40,29.152,0,,,,
510,12/7/2017 22:50,29.152,0,,,,
511,12/7/2017 23:00,29.152,0,,,,
512,12/7/2017 23:10,29.152,0,,,,
513,12/7/2017 23:20,29.152,0,,,,
514,12/7/2017 23:30,29.152,0,,,,
515,12/7/2017 23:40,29.152,0,,,,
516,12/7/2017 23:50,29.053,0,,,,
517,12/8/2017 0:00,29.053,0,,,,
518,12/8/2017 0:10,29.152,0,,,,
519,12/8/2017 0:20,29.053,0,,,,
520,12/8/2017 0:30,29.053,0,,,,
521,12/8/2017 0:40,29.152,0,,,,
522,12/8/2017 0:50,29.152,0,,,,
523,12/8/2017 1:00,29.152,0,,,,
524,12/8/2017 1:10,29.053,0,,,,
525,12/8/2017 1:20,29.053,0,,,,
526,12/8/2017 1:30,29.053,0,,,,
527,12/8/2017 1:40,29.053,0,,,,
528,12/8/2017 1:50,29.053,0,,,,
529,12/8/2017 2:00,29.053,0,,,,
530,12/8/2017 2:10,29.053,0,,,,
